City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,78.57,few clouds,-9.8,-139.0333,Villa Enata
6,Chiang Mai,TH,82.6,broken clouds,18.75,99.0,Centara Riverside Hotel Chiangmai
9,Butaritari,KI,81.97,clear sky,3.0707,172.7902,Isles Sunset Lodge
22,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
23,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Yellowknife,CA,77.56,clear sky,62.456,-114.3525,The Explorer Hotel
43,Faanui,PF,79.0,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
46,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
47,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
58,Cockburn Town,TC,80.4,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
59,Bull Savanna,JM,75.63,overcast clouds,17.8868,-77.5902,Big Red's
60,Port Antonio,JM,80.01,scattered clouds,18.18,-76.4612,The Trident Hotel
61,Nuevo Progreso,MX,82.89,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
67,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
72,Axim,GH,77.94,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
73,Kralendijk,BQ,82.38,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
79,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
82,San Policarpo,PH,83.46,overcast clouds,12.1791,125.5072,Agapita M. Nicart
84,Hambantota,LK,80.87,overcast clouds,6.1241,81.1185,Bungalow 63
85,Dongsheng,CN,76.8,clear sky,39.8161,109.9776,Crowne Plaza Ordos
87,Alihe,CN,77.36,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
95,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
96,Savannah Bight,HN,82.2,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
97,Greensboro,US,75.52,broken clouds,36.0726,-79.792,Marriott Greensboro Downtown
98,Bengkulu,ID,79.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
100,Tahta,EG,83.16,clear sky,26.7693,31.5021,فندق الزيات
105,Russell,US,81.63,broken clouds,32.3502,-85.1999,Macs
108,Bani,DO,78.24,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
112,Kushima,JP,75.79,overcast clouds,31.4583,131.2333,Hanaoka
117,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
125,Limbe,CM,75.65,overcast clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
127,Auki,SB,82.29,broken clouds,-8.7676,160.7034,Auki Motel
132,Calabozo,VE,77.36,scattered clouds,8.9242,-67.4293,Hotel Giardini
142,Palu,ID,85.08,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
