City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Rikitea,PF,2022-06-09 02:14:12,-23.1203,-134.9692,72.52,68,100,15.1,overcast clouds,0.0,0.0
1,Pevek,RU,2022-06-09 02:14:12,69.7008,170.3133,43.68,66,71,5.77,broken clouds,0.0,0.0
2,Atuona,PF,2022-06-09 02:14:12,-9.8,-139.0333,78.57,73,16,18.84,few clouds,0.0,0.0
3,Esperance,AU,2022-06-09 02:14:13,-33.8667,121.9,57.83,62,58,16.82,broken clouds,0.0,0.0
4,Busselton,AU,2022-06-09 02:14:13,-33.65,115.3333,59.52,77,53,19.62,broken clouds,0.0,0.0
5,Tacuati,PY,2022-06-09 02:14:14,-23.45,-56.5833,67.03,84,75,3.0,broken clouds,0.0,0.0
6,Chiang Mai,TH,2022-06-09 02:14:14,18.75,99.0,82.6,75,75,9.22,broken clouds,0.0,0.0
7,Qaanaaq,GL,2022-06-09 02:14:15,77.484,-69.3632,29.23,94,100,2.33,overcast clouds,0.0,0.0
8,Hobart,AU,2022-06-09 02:14:15,-42.8794,147.3294,50.25,66,40,23.02,scattered clouds,0.0,0.0
9,Butaritari,KI,2022-06-09 02:14:15,3.0707,172.7902,81.97,72,6,11.16,clear sky,0.0,0.0
10,Leua,SK,2022-06-09 02:14:16,48.2156,18.6071,61.21,94,100,4.23,overcast clouds,0.0,0.0
11,Cherskiy,RU,2022-06-09 02:14:16,68.75,161.3,59.99,47,99,11.32,overcast clouds,0.0,0.0
12,Thompson,CA,2022-06-09 02:14:17,55.7435,-97.8558,57.11,69,81,2.82,broken clouds,0.0,0.0
13,Columbus,US,2022-06-09 02:10:12,39.9612,-82.9988,70.0,95,75,8.05,broken clouds,0.0,0.0
14,Lesozavodsk,RU,2022-06-09 02:14:17,45.4794,133.4244,70.0,53,88,13.71,overcast clouds,0.0,0.0
15,Tuktoyaktuk,CA,2022-06-09 02:14:18,69.4541,-133.0374,33.51,78,100,11.63,overcast clouds,0.0,0.0
16,Nikolskoye,RU,2022-06-09 02:14:18,59.7035,30.7861,61.88,98,100,7.14,light rain,0.0,0.0
17,Poronaysk,RU,2022-06-09 02:14:19,49.2167,143.1167,45.61,79,100,10.89,moderate rain,0.0,0.0
