City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2022-06-07 01:39:13,73.5069,80.5464,30.27,95,100,9.69
1,Rikitea,PF,2022-06-07 01:39:13,-23.1203,-134.9692,71.65,67,6,17.34
2,Te Anau,NZ,2022-06-07 01:39:13,-45.4167,167.7167,47.5,93,88,6.38
3,Puerto Ayora,EC,2022-06-07 01:39:14,-0.7393,-90.3518,72.55,93,100,4.0
4,Flinders,AU,2022-06-07 01:39:14,-34.5833,150.8552,60.19,53,36,13.0
5,Sambava,MG,2022-06-07 01:39:15,-14.2667,50.1667,71.02,83,58,11.48
6,Los Llanos De Aridane,ES,2022-06-07 01:39:15,28.6585,-17.9182,65.95,86,20,14.97
7,Port-Gentil,GA,2022-06-07 01:39:16,-0.7193,8.7815,76.73,81,100,9.22
8,La Ronge,CA,2022-06-07 01:39:16,55.1001,-105.2842,68.22,30,40,9.22
9,Busselton,AU,2022-06-07 01:39:16,-33.65,115.3333,56.46,60,25,14.99
10,Vaini,TO,2022-06-07 01:39:17,-21.2,-175.2,78.96,61,20,13.8
11,Menongue,AO,2022-06-07 01:39:17,-14.6585,17.691,46.13,70,0,4.21
12,Ushuaia,AR,2022-06-07 01:39:18,-54.8,-68.3,38.86,48,20,12.66
13,Ukiah,US,2022-06-07 01:38:58,39.1502,-123.2078,79.38,48,0,5.01
14,Katsuura,JP,2022-06-07 01:39:18,35.1333,140.3,64.29,79,83,19.33
15,Manicore,BR,2022-06-07 01:39:19,-5.8092,-61.3003,75.15,100,0,3.44
16,Fort Frances,CA,2022-06-07 01:38:33,48.5999,-93.4003,66.42,37,0,6.91
17,Pemba,MZ,2022-06-07 01:39:19,-12.974,40.5178,72.3,94,20,13.8
18,Centralia,US,2022-06-07 01:39:20,46.7162,-122.9543,64.45,68,100,0.0
19,Benguela,AO,2022-06-07 01:39:20,-12.5763,13.4055,72.05,48,29,5.82
20,Byron Bay,AU,2022-06-07 01:39:20,-28.65,153.6167,60.71,44,93,5.77
21,Upernavik,GL,2022-06-07 01:39:21,72.7868,-56.1549,30.69,88,31,11.03
22,Cape Town,ZA,2022-06-07 01:39:21,-33.9258,18.4232,65.12,50,0,2.3
23,Mataura,NZ,2022-06-07 01:39:22,-46.1927,168.8643,54.46,67,72,2.64
24,Pandan,PH,2022-06-07 01:39:22,14.0453,124.1694,87.19,65,9,2.21
25,Taksimo,RU,2022-06-07 01:39:22,56.3444,114.8794,72.18,43,11,2.98
26,Ilulissat,GL,2022-06-07 01:39:23,69.2167,-51.1,37.42,65,3,11.5
27,Rincon,US,2022-06-07 01:39:23,32.296,-81.2354,76.96,84,75,9.22
28,Bluff,NZ,2022-06-07 01:39:24,-46.6,168.3333,55.09,69,98,16.73
29,Gat,IL,2022-06-07 01:35:03,31.61,34.7642,73.4,100,3,4.29
30,Meulaboh,ID,2022-06-07 01:39:24,4.1363,96.1285,78.3,76,100,4.41
31,Burgeo,CA,2022-06-07 01:39:25,47.6167,-57.6152,49.75,77,100,4.38
32,Tezu,IN,2022-06-07 01:39:25,27.9167,96.1667,77.85,84,100,1.1
33,Punta Arenas,CL,2022-06-07 01:39:25,-53.15,-70.9167,35.71,87,0,17.27
34,Bethel,US,2022-06-07 01:39:26,41.3712,-73.414,68.04,58,100,5.88
35,Salalah,OM,2022-06-07 01:39:26,17.0151,54.0924,84.29,70,75,4.61
36,Qaanaaq,GL,2022-06-07 01:39:27,77.484,-69.3632,30.69,97,100,4.36
37,Prince Rupert,CA,2022-06-07 01:39:00,54.3161,-130.3201,51.89,82,100,23.02
38,Vestmannaeyjar,IS,2022-06-07 01:39:27,63.4427,-20.2734,48.74,86,100,23.53
39,Yar-Sale,RU,2022-06-07 01:39:28,66.8333,70.8333,51.06,46,95,17.05
40,Coquimbo,CL,2022-06-07 01:39:28,-29.9533,-71.3436,55.13,94,0,3.44
